	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
abisolierwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Erfahrung im Umgang mit Abisolierwerkzeugen und Crimpzangen
abroller	(7C) LKW	(7C)	LKW								Erfahrung mit Abroller und Hänger wünschenswert  Erfahrung mit Abroller und Hänger
drahtb<fc>rst	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug	drahtbürste?							NA
drahtbürst	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Bevor Sie mit dem Schweißen beginnen, reinigen sie den Untergrund der Werkstücke mit Drahtbürsten, Schleifpapier oder Schleifmaschinen, um z.B.
drahtbürste	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Tätigkeit: Nachbearbeitung von Metallteilen via Flex, Drahtbürste und Feile
drahtschneide	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Kenntnisse im Senkerodieren und Drahtschneiden wären wünschenswert.
entgratwerkzeuge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Zeichnung an Werkzeugen (Druckgussformen, Entgratwerkzeugen und Vorrichtungen)
feil	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
fugenschneider	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Heranführen an das Bedienen von Baumaschinen (Wandsägen, Kernbohrmaschinen, Fugenschneider, spezielle Flexmaschinen, Seilsägemaschinen) ->ausführliche Einarbeitung erfolgt durch den Arbeitgeber
gartenwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								vertiefte Erfahrung im Bereich Pflanzen und Gartenwerkzeuge z. B. als Baumschulgärtner, Staudengärtner, Garten- und Landschaftsbauer oder bereits als Mitarbeiter/in eines Gartencenters, Baumarkts oder eines Großbetriebes
gewindeschneide	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Um Werkstücke durch Bohren, Schleifen, Feilen, Gewindeschneiden und Sägen zu bearbeiten oder um Maschinen einzustellen und zu überprüfen, sind in der Ausbildung Kenntnisse in diesem Fach ein Plus.  Mechanische Grundkenntnisse: Sägen, Feilen, Bohren und Gewindeschneiden  Wenn Sie über Erfahrungen im Bereich Zahnriemen, Kugellager, Gewindeschneiden etc. verfügen, dann sind Sie bei uns richtig.
hämmer	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug	Hammer?							NA
handwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
handwerkzeuge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								fachgerechter Umgang mit Handwerkzeugen und Maschinen
